Timestamp,Config_ID,Episode,Avg_Reward,Loss,Epsilon
2026-04-14 18:14:34,v4.0_default,1,-5.9845,0.0000,0.9920
2026-04-14 18:14:52,v4.0_default,2,-5.2249,0.0000,0.9841
2026-04-14 18:15:16,v4.0_default,3,-5.9189,0.0000,0.9762
2026-04-14 18:15:41,v4.0_default,4,-2.8250,0.0000,0.9684
2026-04-14 18:15:59,v4.0_default,5,-5.4218,0.0000,0.9606
2026-04-14 18:16:17,v4.0_default,6,-6.9352,0.0000,0.9529
2026-04-14 18:16:33,v4.0_default,7,-6.2923,0.0000,0.9453
2026-04-14 18:16:50,v4.0_default,8,-5.2949,0.0000,0.9378
2026-04-14 18:17:07,v4.0_default,9,-5.9884,0.0000,0.9303
2026-04-14 18:17:24,v4.0_default,10,-4.6749,0.0000,0.9228
2026-04-14 18:17:42,v4.0_default,11,-4.3684,0.0000,0.9154
2026-04-14 18:18:00,v4.0_default,12,-5.2876,0.0000,0.9081
2026-04-14 18:18:18,v4.0_default,13,-4.3291,0.0000,0.9008
2026-04-14 18:18:36,v4.0_default,14,-4.0406,0.0000,0.8936
2026-04-14 18:18:52,v4.0_default,15,-1.3822,0.0000,0.8865
2026-04-14 18:19:09,v4.0_default,16,-4.3676,0.0000,0.8794
2026-04-14 18:19:25,v4.0_default,17,-5.1857,0.0000,0.8724
2026-04-14 18:19:41,v4.0_default,18,-2.6379,0.0000,0.8654
2026-04-14 18:19:57,v4.0_default,19,-5.1110,0.0000,0.8585
2026-04-14 18:20:14,v4.0_default,20,-6.7150,0.0000,0.8516
2026-04-14 18:20:30,v4.0_default,21,-3.6715,0.0000,0.8448
2026-04-14 18:20:46,v4.0_default,22,-4.9229,0.0000,0.8380
2026-04-14 18:21:02,v4.0_default,23,-5.9929,0.0000,0.8313
2026-04-14 18:21:19,v4.0_default,24,-4.2230,0.0000,0.8247
2026-04-14 18:21:35,v4.0_default,25,-5.7937,0.0000,0.8181
2026-04-14 18:21:52,v4.0_default,26,-6.9528,0.0000,0.8115
2026-04-14 18:22:07,v4.0_default,27,-4.8070,0.0000,0.8050
2026-04-14 18:22:23,v4.0_default,28,-6.7019,0.0000,0.7986
2026-04-14 18:22:41,v4.0_default,29,-7.1488,0.0000,0.7922
2026-04-14 18:22:59,v4.0_default,30,-2.2130,0.0000,0.7859
2026-04-14 18:23:19,v4.0_default,31,-5.1623,0.0000,0.7796
2026-04-14 20:15:17,v4.0_default,1,-4.3284,0.0000,0.9920
2026-04-14 20:15:35,v4.0_default,2,-5.2019,0.0000,0.9841
2026-04-14 20:15:51,v4.0_default,3,-3.0172,0.0000,0.9762
2026-04-14 20:16:08,v4.0_default,4,-4.4375,0.0000,0.9684
2026-04-14 20:16:25,v4.0_default,5,-1.6358,0.0000,0.9606
2026-04-14 20:16:41,v4.0_default,6,-4.6602,0.0000,0.9529
2026-04-14 20:16:58,v4.0_default,7,-3.0958,0.0000,0.9453
2026-04-14 20:17:14,v4.0_default,8,-1.3600,0.0000,0.9378
2026-04-14 20:17:31,v4.0_default,9,-4.5997,0.0000,0.9303
2026-04-14 20:17:47,v4.0_default,10,-5.0158,0.0000,0.9228
2026-04-14 20:18:04,v4.0_default,11,-6.0074,0.0000,0.9154
2026-04-14 20:18:22,v4.0_default,12,-5.3815,0.0000,0.9081
2026-04-14 20:18:39,v4.0_default,13,-4.4344,0.0000,0.9008
2026-04-14 20:18:55,v4.0_default,14,-5.7081,0.0000,0.8936
2026-04-14 20:19:12,v4.0_default,15,-2.7452,0.0000,0.8865
2026-04-14 20:19:29,v4.0_default,16,-2.8461,0.0000,0.8794
2026-04-14 20:19:48,v4.0_default,17,-5.0134,0.0000,0.8724
2026-04-14 20:20:07,v4.0_default,18,-2.0769,0.0000,0.8654
2026-04-14 20:20:25,v4.0_default,19,-2.1973,0.0000,0.8585
2026-04-14 20:20:43,v4.0_default,20,-4.9724,0.0000,0.8516
2026-04-14 20:21:01,v4.0_default,21,-4.6498,0.0000,0.8448
2026-04-14 20:21:20,v4.0_default,22,-2.4396,0.0000,0.8380
2026-04-14 20:21:37,v4.0_default,23,-4.8956,0.0000,0.8313
2026-04-14 20:21:55,v4.0_default,24,-4.5174,0.0000,0.8247
2026-04-14 20:22:12,v4.0_default,25,-6.9713,0.0000,0.8181
2026-04-14 20:22:28,v4.0_default,26,-4.5108,0.0000,0.8115
2026-04-14 20:22:47,v4.0_default,27,-6.9321,0.0000,0.8050
2026-04-14 20:23:05,v4.0_default,28,-6.1501,0.0000,0.7986
2026-04-14 20:23:23,v4.0_default,29,-5.3435,0.0000,0.7922
2026-04-14 20:23:43,v4.0_default,30,-4.8938,0.0000,0.7859
2026-04-14 20:24:02,v4.0_default,31,-2.4811,0.0000,0.7796
2026-04-14 20:24:56,v4.0_default,32,-5.5799,37366.4309,0.7733
2026-04-14 20:25:50,v4.0_default,33,-7.2618,3211.8852,0.7672
2026-04-14 20:26:43,v4.0_default,34,-7.0389,1775.9893,0.7610
2026-04-14 20:27:36,v4.0_default,35,-5.4665,1421.0486,0.7549
2026-04-14 20:28:34,v4.0_default,36,-6.9139,2475.1405,0.7489
2026-04-14 20:29:33,v4.0_default,37,-4.1299,1853.2768,0.7429
2026-04-14 20:30:42,v4.0_default,1,-6.2698,0.0000,0.9920
2026-04-14 20:30:53,v4.0_default,2,-4.6617,0.0000,0.9841
2026-04-14 20:31:05,v4.0_default,3,-2.4798,0.0000,0.9762
2026-04-14 20:31:16,v4.0_default,4,-2.5565,0.0000,0.9684
2026-04-14 20:31:27,v4.0_default,5,-1.8381,0.0000,0.9606
2026-04-14 20:31:39,v4.0_default,6,-3.5744,0.0000,0.9529
2026-04-14 20:31:49,v4.0_default,7,-3.6587,0.0000,0.9453
2026-04-14 20:31:59,v4.0_default,8,-7.1244,0.0000,0.9378
2026-04-14 20:32:10,v4.0_default,9,-4.7523,0.0000,0.9303
2026-04-14 20:32:20,v4.0_default,10,-5.8261,0.0000,0.9228
2026-04-14 20:32:31,v4.0_default,11,-5.6137,0.0000,0.9154
2026-04-14 20:32:45,v4.0_default,12,-5.4283,0.0000,0.9081
2026-04-14 20:32:56,v4.0_default,13,-5.1450,0.0000,0.9008
2026-04-14 20:33:13,v4.0_default,14,-4.3933,0.0000,0.8936
2026-04-14 20:33:23,v4.0_default,15,-6.0862,0.0000,0.8865
2026-04-14 20:33:33,v4.0_default,16,-6.5617,0.0000,0.8794
2026-04-14 20:33:43,v4.0_default,17,-4.4656,0.0000,0.8724
2026-04-14 20:33:53,v4.0_default,18,-3.2788,0.0000,0.8654
2026-04-14 20:34:04,v4.0_default,19,-2.0297,0.0000,0.8585
2026-04-14 20:34:14,v4.0_default,20,-2.1955,0.0000,0.8516
2026-04-14 20:34:24,v4.0_default,21,-6.9938,0.0000,0.8448
2026-04-14 20:34:34,v4.0_default,22,-6.7200,0.0000,0.8380
2026-04-14 20:34:44,v4.0_default,23,-5.9014,0.0000,0.8313
2026-04-14 20:34:55,v4.0_default,24,-2.7332,0.0000,0.8247
2026-04-14 20:35:05,v4.0_default,25,-6.1843,0.0000,0.8181
2026-04-14 20:35:15,v4.0_default,26,-6.3334,0.0000,0.8115
2026-04-14 20:35:25,v4.0_default,27,-1.9021,0.0000,0.8050
2026-04-14 20:35:36,v4.0_default,28,-4.8875,0.0000,0.7986
2026-04-14 20:35:46,v4.0_default,29,-2.2008,0.0000,0.7922
2026-04-14 20:35:56,v4.0_default,30,-2.7147,0.0000,0.7859
